,0,1,2,3,4,5,6,7,8
79,9732.5,10544.5,12650.0,14198.0,17327.5,16516.5,0.09926884585494282,-0.1560336919356184,0.0
80,8228.5,8719.5,9984.5,10339.5,16949.0,11233.5,0.2422082562251498,-0.25858132066014444,0.0
81,8517.0,9037.5,10306.5,10983.5,15888.5,12558.5,0.1825320035724918,-0.21309410192784883,0.0
82,8775.0,9282.0,10595.5,11191.5,16856.5,12905.0,0.2019751853964632,-0.22807081451260383,0.0
83,9947.0,10748.0,12864.0,14509.0,17851.0,17802.0,0.10327564894932015,-0.1623636659612567,0.0
84,9115.0,9685.0,11111.0,12040.0,16853.0,14484.0,0.16658014051846468,-0.20533543126877413,0.0
85,10796.5,11796.5,14080.5,16386.5,19895.0,18381.5,0.09670217604013065,-0.17113802593044988,0.0
86,8953.5,9535.0,11172.5,11877.5,17200.0,13653.0,0.18304530994755394,-0.21244162481275883,0.0
87,8900.0,9390.0,10742.0,11455.0,17413.0,13895.0,0.20638769571844257,-0.23693837684247912,0.0
88,8924.5,9650.0,11322.5,12390.0,17136.0,13975.0,0.16073968705547653,-0.20427991636945025,0.0
89,9437.5,10062.0,11703.5,13040.0,16813.0,15871.0,0.12638595786018156,-0.17917696772044256,0.0
90,8813.0,9375.0,10909.0,11580.0,18388.0,13366.0,0.22717565403096637,-0.2552821107963273,0.0
91,8521.0,9034.0,10494.0,10840.0,17674.0,12575.0,0.23967174019779758,-0.2548991763703493,0.0
92,8618.0,9058.0,10255.0,10647.0,17612.0,12248.0,0.2464701511023037,-0.2640040190906807,0.0
93,10570.0,11703.0,14159.0,16794.0,20784.0,18350.0,0.10617914737346319,-0.18959448244283547,0.0
94,8738.166666666666,9481.0,11283.5,12151.666666666666,17264.333333333332,13420.333333333334,0.17380563865470036,-0.20950218055077147,0.0
95,9757.5,10613.5,12732.5,14306.5,17726.0,16650.5,0.10675095606025131,-0.16394438334126762,0.0
96,8818.0,9433.5,10949.0,11719.5,16381.5,13636.5,0.1659015693391694,-0.19877060426995483,0.0
97,8946.0,9532.0,11023.0,11808.0,16666.0,13983.0,0.170611786190911,-0.20379934269926686,0.0
98,8158.75,8656.75,9972.25,10201.0,16363.5,11296.0,0.23198253307986222,-0.2426834246224239,0.0
99,8633.0,9155.0,10545.0,11077.0,16576.0,12841.0,0.19885726684265723,-0.22237380627557982,0.0
100,8616.0,9153.0,10532.5,11055.0,16528.5,12460.0,0.19843384632117025,-0.22157348213295888,0.0
101,9543.0,10313.0,12005.0,13223.0,17944.0,15800.0,0.1514743157827189,-0.19830378309793315,0.0
102,8807.0,9342.0,11012.0,11323.0,18659.0,13551.0,0.24468014141818425,-0.25772639951467763,0.0
103,9394.5,10131.0,11963.0,13205.0,16852.0,15380.0,0.12133612802342217,-0.16966857539475969,0.0
104,9215.0,9892.0,11535.0,12555.0,16850.0,15095.0,0.14606359462676416,-0.18724678527391228,0.0
105,9265.5,10058.5,11779.5,13087.5,17595.0,15046.0,0.14690784649230018,-0.19797783792064547,0.0
106,8676.0,9213.5,10699.5,11117.0,17431.0,12825.5,0.2211713605156228,-0.23929542667211745,0.0
